season,espn_player_id,full_name,default_position_id,fantasy_points,source,source_player_id
2008,112,Brett Favre,1,204.00,espn_exact,
2008,658,Isaac Bruce,3,118.00,espn_exact,
2008,751,Joey Galloway,3,11.00,espn_exact,
2008,936,Muhsin Muhammad,3,114.00,espn_exact,
2008,937,Bobby Engram,3,45.00,nflverse_name,00-0004915
2008,939,Marvin Harrison,3,87.00,espn_exact,
2008,1056,Terrell Owens,3,159.00,espn_exact,
2008,1231,Tony Gonzalez,4,158.00,espn_exact,
2008,1263,Derrick Mason,3,128.00,espn_exact,
2008,1383,Jon Kitna,1,42.00,nflverse_id,00-0009311
2008,1428,Peyton Manning,1,276.00,espn_exact,
2008,1430,Fred Taylor,2,58.00,nflverse_id,00-0016098
2008,1432,Ahman Green,2,43.00,espn_exact,
2008,1433,Randy Moss,3,157.00,espn_exact,
2008,1494,Hines Ward,3,139.00,espn_exact,
2008,1575,Matt Hasselbeck,1,55.00,nflverse_id,00-0007091
2008,1682,Kurt Warner,1,289.00,espn_exact,
2008,1693,Jake Delhomme,1,184.00,espn_exact,
2008,1753,Donovan McNabb,1,256.00,espn_exact,
2008,1755,Edgerrin James,2,68.00,espn_exact,
2008,1756,Ricky Williams,2,103.00,espn_exact,
2008,1757,Torry Holt,3,92.00,espn_exact,
2008,1966,Donald Driver,3,126.00,espn_exact,
2008,2136,Jamal Lewis,2,126.00,espn_exact,
2008,2138,Thomas Jones,2,226.00,espn_exact,
2008,2139,Plaxico Burress,3,65.00,nflverse_id,00-0019642
2008,2209,Laveranues Coles,3,121.00,espn_exact,
2008,2330,Tom Brady,1,3.00,nflverse_id,00-0019596
2008,2553,LaDainian Tomlinson,2,213.00,espn_exact,
2008,2564,Santana Moss,3,141.00,espn_exact,
2008,2571,Deuce McAllister,2,83.00,espn_exact,
2008,2578,Reggie Wayne,3,146.00,espn_exact,
2008,2579,Todd Heap,4,49.00,espn_exact,
2008,2580,Drew Brees,1,335.00,espn_exact,
2008,2583,Alge Crumpler,4,26.00,nflverse_id,00-0020285
2008,2584,Chad Ochocinco,3,71.00,espn_exact,
2008,2597,LaMont Jordan,2,56.00,nflverse_name,00-0020462
2008,2600,Chris Chambers,3,74.00,espn_exact,
2008,2622,Steve Smith Sr.,3,174.00,espn_exact,
2008,2649,Rudi Johnson,2,36.00,espn_exact,
2008,2753,T.J. Houshmandzadeh,3,107.00,espn_exact,
2008,3541,Donte' Stallworth,3,17.00,nflverse_id,00-0021147
2008,3542,Jeremy Shockey,4,39.00,espn_exact,
2008,3548,Javon Walker,3,21.00,nflverse_name,00-0021153
2008,3561,Jabar Gaffney,3,56.00,nflverse_id,00-0021163
2008,3562,DeShaun Foster,2,39.00,nflverse_name,00-0021164
2008,3579,Clinton Portis,2,205.00,espn_exact,
2008,3582,Maurice Morris,2,72.00,nflverse_id,00-0021182
2008,3590,Antwaan Randle El,3,78.00,nflverse_id,00-0021190
2008,3619,Brian Westbrook,2,210.00,espn_exact,
2008,3636,David Garrard,1,221.00,espn_exact,
2008,3734,Ronald Curry,3,27.00,nflverse_name,00-0021337
2008,3784,Chester Taylor,2,103.00,espn_exact,
2008,4459,Carson Palmer,1,37.00,espn_exact,
2008,4461,Andre Johnson,3,198.00,espn_exact,
2008,4475,Bryant Johnson,3,66.00,espn_exact,
2008,4481,Willis McGahee,2,110.00,espn_exact,
2008,4482,Dallas Clark,4,112.00,espn_exact,
2008,4485,Larry Johnson,2,121.00,espn_exact,
