franchise_key,espn_team_id,start_season,end_season,notes
bubbs,1,2018,,Austin Bubbs
run-and-hide,2,2018,,Run and Hide
your-worst-nightmares,3,2018,,Your Worst Nightmares
the-penguins,4,2018,,The Penguins
penthouse-panda-bear,5,2018,,The Penthouse Panda Bear
p-rivers-nas-nas,6,2018,,P RIVERS NAS NAS
brightleaf-yuppies,8,2018,,Brightleaf Yuppies
raleigh-silly-nannies,9,2018,,Raleigh Silly Nannies
cte-deniers,10,2018,,"Trafton Drew's Boston Double Rainbows through 2017; Jordan Chin from 2018"
taco-macarthur,11,2018,,Gary Camero's franchise; renamed most seasons before 2018
