season,franchise_key,team_name,espn_team_id,regular_wins,regular_losses,regular_ties,regular_points_for,regular_points_against,playoff_wins,playoff_losses,final_place,is_champion,is_runner_up,source,source_note
2005,bubbs,Durham Bubbs,,11,1,0,1437,843,2,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 1 seed, playoff record derived from the 6-team bracket"
2005,brightleaf-yuppies,Death by Glass Ingestion,,8,4,0,1146,1073,1,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
2005,p-rivers-nas-nas,P RIVERS NAS NAS,,8,4,0,1143,981,1,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 3 seed, playoff record derived from the 6-team bracket"
2005,penthouse-panda-bear,The Penthouse Panda Bear,,7,5,0,1064,1122,1,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 4 seed, playoff record derived from the 6-team bracket"
2005,the-penguins,The Penguins,,4,8,0,999,1036,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 6 seed, playoff record derived from the 6-team bracket"
2005,run-and-hide,Team 2,,6,6,0,916,1073,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 5 seed, playoff record derived from the 6-team bracket"
2005,cte-deniers,Mario and Manny Fan Club,,1,11,0,729,1047,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2005,your-worst-nightmares,Your Worst Nightmares,,3,9,0,821,1080,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2006,bubbs,Durham Bubbs,,7,6,0,1154,1084,3,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; divisional bye order, 4 seed, playoff record derived from the 6-team bracket"
2006,your-worst-nightmares,Your Worst Nightmares,,8,5,0,1306,1142,1,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; divisional bye order, 2 seed, playoff record derived from the 6-team bracket"
2006,the-penguins,The Penguins,,9,4,0,1272,1124,0,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; divisional bye order, 1 seed, playoff record derived from the 6-team bracket"
2006,penthouse-panda-bear,The Penthouse Panda Bear,,6,7,0,1108,1117,1,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; divisional bye order, 6 seed, playoff record derived from the 6-team bracket"
2006,raleigh-silly-nannies,King Ding A Lings,,7,6,0,1126,1076,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; divisional bye order, 5 seed, playoff record derived from the 6-team bracket"
2006,cte-deniers,Boston Baked Beans,,9,4,0,1131,998,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; divisional bye order, 3 seed, playoff record derived from the 6-team bracket"
2006,taco-macarthur,Bong Suckin' Boys,,3,10,0,936,1185,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2006,run-and-hide,Team 2,,5,8,0,945,1095,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2006,brightleaf-yuppies,Brightleaf Yuppies,,6,7,0,1104,1110,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2006,p-rivers-nas-nas,P RIVERS NAS NAS,,5,8,0,1057,1208,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2007,bubbs,Durham Bubbs,,9,4,0,1370,1071,2,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 1 seed, playoff record derived from the 6-team bracket"
2007,p-rivers-nas-nas,P RIVERS NAS NAS,,9,4,0,1212,976,1,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
2007,raleigh-silly-nannies,99% Domination,,7,6,0,1060,1080,1,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 6 seed, playoff record derived from the 6-team bracket"
2007,the-penguins,The Penguins,,8,5,0,1064,998,1,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 5 seed, playoff record derived from the 6-team bracket"
2007,taco-macarthur,Baltimore Stars,,8,5,0,1191,1078,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 4 seed, playoff record derived from the 6-team bracket"
2007,brightleaf-yuppies,Brightleaf Yuppies,,8,5,0,1302,1181,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 3 seed, playoff record derived from the 6-team bracket"
2007,cte-deniers,Boston Baked Beans,,3,10,0,970,1290,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2007,penthouse-panda-bear,The Penthouse Panda Bear,,6,7,0,1163,1116,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2007,run-and-hide,Team 2,,2,11,0,755,1161,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2007,your-worst-nightmares,Your Worst Nightmares,,5,8,0,1059,1195,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2008,your-worst-nightmares,Your Worst Nightmares,,7,6,0,1228,1311,3,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 4 seed, playoff record derived from the 6-team bracket"
2008,brightleaf-yuppies,Brightleaf Yuppies,,8,5,0,1359,1160,2,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 3 seed, playoff record derived from the 6-team bracket"
2008,bubbs,New York Bubbs,,10,3,0,1384,1206,0,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 1 seed, playoff record derived from the 6-team bracket"
2008,penthouse-panda-bear,The Penthouse Panda Bear,,9,4,0,1434,1181,0,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
2008,raleigh-silly-nannies,99% Domination,,7,6,0,1202,1138,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 5 seed, playoff record derived from the 6-team bracket"
2008,cte-deniers,Boston Baked Beans,,6,7,0,1283,1354,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 6 seed, playoff record derived from the 6-team bracket"
2008,p-rivers-nas-nas,P RIVERS NAS NAS,,4,9,0,1083,1189,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2008,the-penguins,The Penguins,,5,8,0,1181,1345,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2008,taco-macarthur,Big Gay Al,,3,10,0,1053,1266,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2008,run-and-hide,Run and Hide,,6,7,0,1104,1161,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2009,penthouse-panda-bear,The Penthouse Panda Bear,,7,6,0,1409,1352.9,3,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 4 seed, playoff record derived from the 6-team bracket"
2009,the-penguins,The Penguins,,8,5,0,1424,1217.8,2,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 3 seed, playoff record derived from the 6-team bracket"
2009,bubbs,New York Bubbs,,9,4,0,1423,1395,0,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 1 seed, playoff record derived from the 6-team bracket"
2009,brightleaf-yuppies,Brightleaf Yuppies,,9,4,0,1293.7,1227.3,0,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
2009,cte-deniers,Boston Baked Beans,,6,7,0,1409.7,1364.1,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 6 seed, playoff record derived from the 6-team bracket"
2009,raleigh-silly-nannies,S. Raleigh Silly Nannies,,7,6,0,1406.8,1375.6,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 5 seed, playoff record derived from the 6-team bracket"
2009,your-worst-nightmares,Your Worst Nightmares,,6,7,0,1335.6,1402.6,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2009,p-rivers-nas-nas,P RIVERS NAS NAS,,2,11,0,1160,1463.6,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2009,taco-macarthur,Make It Wayne,,5,8,0,1241.7,1265.3,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2009,run-and-hide,Run and Hide,,6,7,0,1284.5,1323.8,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2010,raleigh-silly-nannies,W. Durham Silly Nannies,,8,5,0,1389.6,1274.3,2,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
